setup,S_events,S_median,S_p90,S_short,S_long,ARS
Basic_ShortestQueue,0.20471090930006186,0.1651654561888598,0.534934731781143,0.7351114730733992,0.6137284739896163,0.40178202978791133
QR_Advanced,0.833711586407004,0.00819658093775033,0.025641614692390124,0.9489795918367347,0.06140333951762522,0.3671628044778206
QR_ShortestQueue,0.7608712176071868,0.010694267725010143,0.028006236746918822,1.0,0.08991259186673206,0.3619795074624428
QR_Random,0.7881943410562905,0.003814771623005697,0.024885686730634404,0.9863229879011047,0.0670423987375065,0.3609842235117426
Basic_Advanced,0.23388057204161383,0.02968017708122994,0.0687789449460885,0.7605633802816902,0.35971267605633805,0.2476873847206329
Basic_Random,0.19878142861649561,5.9423435061489727e-08,0.06699716001943379,0.332421340629275,0.14987086183310538,0.13543863438322648
