setup,n_events,n_cases,n_activities,n_start,n_complete,avg_events_per_case,mean_case_duration_sec,median_case_duration_sec,p90_case_duration_sec,p95_case_duration_sec,max_case_duration_sec,share_cases_le_1s,share_cases_gt_1day,time_min,time_max
QR_Advanced,47977,1078,22,6549,41428,44.50556586270872,32142.95509496753,13517.6455475,71407.87118480004,88194.7115202,160148.869464,0.05102040816326531,0.05380333951762523,2016-05-17 09:15:00.001,2016-05-26 21:58:34.957030
Basic_Advanced,3802,426,22,709,3093,8.924882629107982,72284.55043615962,48947.984119,191538.5633805,236129.99853825,279987.307962,0.23943661971830985,0.352112676056338,2016-05-17 09:15:00.001,2016-05-20 16:00:05.534117
QR_Random,87907,1901,22,11963,75944,46.24250394529195,29666.86217843188,6291.24888,69302.730492,123494.42493,227884.971075,0.013677012098895318,0.05944239873750658,2016-05-17 09:15:00.001,2016-06-03 08:31:25.438721
Basic_Random,5545,731,22,779,4766,7.585499316005472,44343.56787795076,0.098,186576.5721,297936.232956,601242.744522,0.667578659370725,0.14227086183310533,2016-05-17 09:15:00.001,2016-05-24 09:07:46.246339
QR_ShortestQueue,96509,2041,22,13161,83348,47.28515433610975,36054.97463595591,17636.783141,77992.972361,130092.29043,224498.8163,0.0,0.082312591866732,2016-05-17 09:15:00.001,2016-06-04 15:17:07.161373
Basic_ShortestQueue,76735,9823,22,13973,62762,7.811768298890359,1169902.8347451102,272387.732203,4079976.756742406,5218351.0041253995,7656602.716031,0.2648885269266008,0.6061284739896162,2016-05-17 09:15:00.001,2016-08-14 07:01:17.525270
