setup,avg_events_per_case_emp,avg_events_per_case_sim,avg_events_per_case_abs_diff,avg_events_per_case_rel_diff,mean_case_duration_sec_emp,mean_case_duration_sec_sim,mean_case_duration_sec_abs_diff,mean_case_duration_sec_rel_diff,median_case_duration_sec_emp,median_case_duration_sec_sim,median_case_duration_sec_abs_diff,median_case_duration_sec_rel_diff,p90_case_duration_sec_emp,p90_case_duration_sec_sim,p90_case_duration_sec_abs_diff,p90_case_duration_sec_rel_diff,p95_case_duration_sec_emp,p95_case_duration_sec_sim,p95_case_duration_sec_abs_diff,p95_case_duration_sec_rel_diff,share_cases_le_1s_emp,share_cases_le_1s_sim,share_cases_le_1s_abs_diff,share_cases_le_1s_rel_diff,share_cases_gt_1day_emp,share_cases_gt_1day_sim,share_cases_gt_1day_abs_diff,share_cases_gt_1day_rel_diff
QR_Advanced,38.15630454790695,44.50556586270872,6.3492613148017725,0.1664013690537036,1892125.9230699483,32142.95509496753,-1859982.9679749808,-0.9830122537284326,1649180.668,13517.6455475,-1635663.0224525,-0.9918034174121788,3028742.9104000004,71407.87118480004,-2957335.0392152006,-0.9764232642725793,3673816.9496,88194.7115202,-3585622.2380798,-0.9759937109741402,0.0,0.05102040816326531,0.05102040816326531,,0.9924466025579993,0.05380333951762523,-0.938643263040374,-0.945787169426598
Basic_Advanced,38.15630454790695,8.924882629107982,-29.231421918798965,-0.7660967765391852,1892125.9230699483,72284.55043615962,-1819841.3726337887,-0.9617971776852574,1649180.668,48947.984119,-1600232.6838810001,-0.9703198169437917,3028742.9104000004,191538.5633805,-2837204.3470195006,-0.9367597154836744,3673816.9496,236129.99853825,-3437686.95106175,-0.9357262482650477,0.0,0.23943661971830985,0.23943661971830985,,0.9924466025579993,0.352112676056338,-0.6403339265016613,-0.6452074346883965
QR_Random,38.15630454790695,46.24250394529195,8.086199397385002,0.2119230227663273,1892125.9230699483,29666.86217843188,-1862459.0608915165,-0.984320883818188,1649180.668,6291.24888,-1642889.41912,-0.9961852276090347,3028742.9104000004,69302.730492,-2959440.1799080004,-0.9771183185426434,3673816.9496,123494.42493,-3550322.5246699997,-0.9663852536410541,0.0,0.013677012098895318,0.013677012098895318,,0.9924466025579993,0.05944239873750658,-0.9330042038204928,-0.9401051919727513
Basic_Random,38.15630454790695,7.585499316005472,-30.570805231901478,-0.8011993193292203,1892125.9230699483,44343.56787795076,-1847782.3551919975,-0.9765641560441157,1649180.668,0.098,-1649180.57,-0.9999999405765531,3028742.9104000004,186576.5721,-2842166.3383000004,-0.9383980160682046,3673816.9496,297936.232956,-3375880.716644,-0.9189028095184658,0.0,0.667578659370725,0.667578659370725,,0.9924466025579993,0.14227086183310533,-0.850175740724894,-0.8566463309296372
QR_ShortestQueue,38.15630454790695,47.28515433610975,9.1288497882028,0.2392487924699605,1892125.9230699483,36054.97463595591,-1856070.9484339925,-0.9809447277285557,1649180.668,17636.783141,-1631543.884859,-0.9893057301221045,3028742.9104000004,77992.972361,-2950749.9380390006,-0.9742490615188268,3673816.9496,130092.29043,-3543724.65917,-0.9645893379515916,0.0,0.0,0.0,,0.9924466025579993,0.082312591866732,-0.9101340106912673,-0.9170609364226006
Basic_ShortestQueue,38.15630454790695,7.811768298890359,-30.34453624901659,-0.7952692643732745,1892125.9230699483,1169902.8347451102,-722223.0883248381,-0.38169927250562746,1649180.668,272387.732203,-1376792.935797,-0.8348345105613377,3028742.9104000004,4079976.756742406,1051233.8463424058,0.3470858628286715,3673816.9496,5218351.0041253995,1544534.0545253996,0.4204167152894121,0.0,0.2648885269266008,0.2648885269266008,,0.9924466025579993,0.6061284739896162,-0.3863181285683831,-0.38925835160567884
